"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"I2 Double Extra Large","i2.2xlarge","61.0 GiB","27 units","8 vCPUs","0","0","3.375 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","Yes","1600 GiB               (2 * 800 GiB SSD)","Yes","Yes","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$2.035000 hourly","$0.848 hourly","$1.835 hourly","$0.978 hourly","$1.805 hourly","$0.884 hourly","$1.946 hourly","$1.131 hourly","$1.986 hourly","$1.155 hourly","$2.459 hourly","$1.536 hourly","$5.073 hourly","$4.218 hourly","$1.841 hourly","$0.897 hourly","$2.666 hourly","$1.722 hourly","$4.706 hourly","$3.762 hourly","unavailable","$0.270 hourly"
"R4 High-Memory Double Extra Large","r4.2xlarge","61.0 GiB","27 units","8 vCPUs","0","0","3.375 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","1700.0 Mbps","212.5 MB/s","12000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.640000 hourly","$0.336 hourly","$0.662 hourly","$0.433 hourly","$0.632 hourly","$0.369 hourly","$0.9 hourly","$0.704 hourly","$0.787 hourly","$0.628 hourly","$1.86 hourly","$1.664 hourly","$3.9 hourly","$3.704 hourly","$0.6672 hourly","$0.4712 hourly","$1.492 hourly","$1.296 hourly","$3.532 hourly","$3.336 hourly","0","$0.133 hourly"
"I3 High I/O Double Extra Large","i3.2xlarge","61.0 GiB","27 units","8 vCPUs","0","0","3.375 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","1900 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","1700.0 Mbps","212.5 MB/s","12000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.748000 hourly","$0.428 hourly","$0.754 hourly","$0.558 hourly","$0.724 hourly","$0.461 hourly","$0.992 hourly","$0.796 hourly","$1.133 hourly","$0.937 hourly","$1.952 hourly","$1.756 hourly","$3.992 hourly","$3.796 hourly","$0.759 hourly","$0.564 hourly","$1.584 hourly","$1.388 hourly","$3.624 hourly","$3.428 hourly","0","$0.156 hourly"
"G2 Double Extra Large","g2.2xlarge","15.0 GiB","26 units","8 vCPUs","1","0","3.25 units","Intel Xeon E5-2670 (Sandy Bridge)","2.6 GHz","Yes","unknown","Yes","60 GiB               SSD","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","No","No","No","No","Unknown","Yes","$1.000000 hourly","$0.474 hourly","$0.78 hourly","$0.604 hourly","$0.75 hourly","$0.51 hourly","$0.767 hourly","$0.611 hourly","$0.957 hourly","$0.775 hourly","$3.816 hourly","$3.754 hourly","unavailable","unavailable","$0.785 hourly","$0.561 hourly","$1.61 hourly","$1.385 hourly","unavailable","unavailable","unavailable","$0.200 hourly"
"R3 High-Memory Double Extra Large","r3.2xlarge","61.0 GiB","26 units","8 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","Yes","160 GiB               SSD","Yes","Yes","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$0.798000 hourly","$0.418 hourly","$0.795 hourly","$0.548 hourly","$0.765 hourly","$0.451 hourly","$1.045 hourly","$0.824 hourly","$1.52 hourly","$1.069 hourly","$2.74 hourly","$2.412 hourly","$4.033 hourly","$3.789 hourly","$0.799 hourly","$0.512 hourly","$1.624 hourly","$1.337 hourly","$3.664 hourly","$3.377 hourly","unavailable","$0.180 hourly"
"M3 General Purpose Double Extra Large","m3.2xlarge","30.0 GiB","26 units","8 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","Yes","unknown","Yes","160 GiB               (2 * 80 GiB SSD)","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","No","120","4","No","No","No","No","HVM, PV","Yes","$0.784000 hourly","$0.38 hourly","$0.662 hourly","$0.51 hourly","$0.632 hourly","$0.413 hourly","$1.036 hourly","$0.793 hourly","$1.468 hourly","$0.957 hourly","$2.532 hourly","$1.661 hourly","$3.9 hourly","$3.756 hourly","$0.671 hourly","$0.48 hourly","$1.496 hourly","$1.305 hourly","$3.536 hourly","$3.345 hourly","unavailable","$0.140 hourly"
"M4 General Purpose Double Extra Large","m4.2xlarge","32.0 GiB","26 units","8 vCPUs","0","0","3.25 units","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.500000 hourly","$0.2478 hourly","$0.53 hourly","$0.3778 hourly","$0.5 hourly","$0.2808 hourly","$0.768 hourly","$0.6158 hourly","$0.9 hourly","$0.689 hourly","$1.728 hourly","$1.5758 hourly","$3.768 hourly","$3.6158 hourly","$0.5352 hourly","$0.383 hourly","$1.36 hourly","$1.2078 hourly","$3.4 hourly","$3.2478 hourly","$0.00 hourly","$0.120 hourly"
"F1 Double Extra Large","f1.2xlarge","122.0 GiB","26 units","8 vCPUs","0","0","3.25 units","Intel Xeon E5-2686 v4 (Broadwell)","unknown","unknown","unknown","unknown","470 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","1700.0 Mbps","212.5 MB/s","12000.0 IOPS","No","60","4","No","Yes","Yes","No","HVM","No","unavailable","$1.116 hourly","$1.78 hourly","$1.246 hourly","$1.75 hourly","$1.149 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"H1 Double Extra Large","h1.2xlarge","32.0 GiB","26 units","8 vCPUs","0","0","3.25 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","2000 GiB               HDD","Yes","N/A","64-bit","Up to 10 Gigabit","1750.0 Mbps","218.75 MB/s","12000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","unavailable","$0.318 hourly","$0.598 hourly","$0.448 hourly","$0.568 hourly","$0.351 hourly","$0.836 hourly","$0.686 hourly","$0.971 hourly","$0.821 hourly","$1.796 hourly","$1.646 hourly","$3.836 hourly","$3.686 hourly","$0.603 hourly","$0.453 hourly","$1.428 hourly","$1.278 hourly","$3.468 hourly","$3.318 hourly","0","$0.117 hourly"
"P3 Double Extra Large","p3.2xlarge","61.0 GiB","26 units","8 vCPUs","1","0","3.25 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","1750.0 Mbps","218.0 MB/s","10000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$4.234000 hourly","$2.088 hourly","$3.19 hourly","$2.218 hourly","$3.16 hourly","$2.121 hourly","$3.428 hourly","$2.456 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.270 hourly"
"M2 High Memory Quadruple Extra Large","m2.4xlarge","68.4 GiB","26 units","8 vCPUs","0","0","3.25 units","Intel Xeon Family","unknown","unknown","unknown","unknown","1680 GiB               (2 * 840 GiB HDD)","No","N/A","64-bit","High","N/A","0 MB/s","0 IOPS","No","240","8","No","No","No","No","PV","Yes","$1.183000 hourly","$0.444 hourly","$1.11 hourly","$0.574 hourly","$1.08 hourly","$0.48 hourly","$1.38 hourly","$0.991 hourly","$1.7 hourly","$1.245 hourly","$2.976 hourly","$1.887 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.246 hourly"
"X1E Double Extra Large","x1e.2xlarge","244.0 GiB","23 units","8 vCPUs","0","0","2.875 units","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","Yes","Yes","unknown","240 GiB               SSD","Yes","No","64-bit","Up to 10 Gigabit","1000.0 Mbps","125.0 MB/s","7400.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","No","unavailable","$1.028 hourly","$1.798 hourly","$1.158 hourly","$1.768 hourly","$1.061 hourly","$2.036 hourly","$1.396 hourly","$2.171 hourly","$1.531 hourly","$2.996 hourly","$2.356 hourly","$5.036 hourly","$4.396 hourly","$1.803 hourly","$1.163 hourly","$2.628 hourly","$1.988 hourly","$4.668 hourly","$4.028 hourly","0","unavailable"
"C1 High-CPU Extra Large","c1.xlarge","7.0 GiB","20 units","8 vCPUs","0","0","2.5 units","Intel Xeon Family","unknown","unknown","unknown","unknown","1680 GiB               (4 * 420 GiB HDD)","No","N/A","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","No","No","No","No","PV","Yes","$0.655000 hourly","$0.364 hourly","$0.65 hourly","$0.494 hourly","$0.62 hourly","$0.4 hourly","$0.84 hourly","$0.719 hourly","$1.16 hourly","$0.793 hourly","$2.124 hourly","$1.537 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.120 hourly"
"T3 Double Extra Large","t3.2xlarge","32.0 GiB","Base performance:                 320%","8 vCPUs                                                   for a                 9h 36m                 burst","0","0","Burstable","Intel Skylake E5 2686 v5 (2.5 GHz)","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Moderate","2048.0 Mbps","256.0 MB/s","15700.0 IOPS","No","60","4","No","Yes","Yes","No","Unknown","No","$0.422400 hourly","$0.2086 hourly","$0.4628 hourly","$0.3386 hourly","$0.4828 hourly","$0.2686 hourly","$0.48 hourly","$0.3558 hourly","$0.6152 hourly","$0.491 hourly","$1.44 hourly","$1.3158 hourly","$3.48 hourly","$3.3558 hourly","$0.468 hourly","$0.3438 hourly","$1.2928 hourly","$1.1686 hourly","$3.3328 hourly","$3.2086 hourly","0","unavailable"
"T2 Double Extra Large","t2.2xlarge","32.0 GiB","Base performance:                 136%","8 vCPUs                                                   for a                 4h 4.8m                 burst","0","0","Burstable","Intel Xeon Family","Up to 3.0 GHz","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","45","3","No","Yes","Yes","No","HVM","No","$0.467200 hourly","$0.23 hourly","$0.5012 hourly","$0.36 hourly","$0.4712 hourly","$0.263 hourly","$0.4332 hourly","$0.292 hourly","$0.5742 hourly","$0.433 hourly","unavailable","unavailable","$3.4332 hourly","$3.292 hourly","$0.5064 hourly","$0.3652 hourly","unavailable","unavailable","$3.3712 hourly","$3.23 hourly","unavailable","unavailable"
"M5A Double Extra Large","m5a.2xlarge","32.0 GiB","0 units","8 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","No","60","4","Yes","Yes","Yes","No","Unknown","Yes","$0.432000 hourly","$0.219 hourly","$0.474 hourly","$0.349 hourly","$0.494 hourly","$0.279 hourly","$0.712 hourly","$0.587 hourly","$0.847 hourly","$0.722 hourly","$1.672 hourly","$1.547 hourly","$3.712 hourly","$3.587 hourly","$0.479 hourly","$0.354 hourly","$1.304 hourly","$1.179 hourly","$3.344 hourly","$3.219 hourly","0","$0.086 hourly"
"R5AD Double Extra Large","r5ad.2xlarge","64.0 GiB","0 units","8 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","300 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","2210.0 Mbps","265.0 MB/s","16000.0 IOPS","No","60","4","Yes","Yes","Yes","No","Unknown","No","$0.636000 hourly","$0.332 hourly","$0.654 hourly","$0.462 hourly","$0.674 hourly","$0.392 hourly","$0.892 hourly","$0.7 hourly","$1.027 hourly","$0.835 hourly","$1.852 hourly","$1.66 hourly","$3.892 hourly","$3.7 hourly","$0.659 hourly","$0.467 hourly","$1.484 hourly","$1.292 hourly","$3.524 hourly","$3.332 hourly","0","unavailable"
"M5AD Double Extra Large","m5ad.2xlarge","32.0 GiB","0 units","8 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","300 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","No","60","4","Yes","Yes","Yes","No","Unknown","No","$0.516000 hourly","$0.263 hourly","$0.542 hourly","$0.393 hourly","$0.562 hourly","$0.323 hourly","$0.78 hourly","$0.631 hourly","$0.915 hourly","$0.767 hourly","$1.74 hourly","$1.591 hourly","$3.78 hourly","$3.631 hourly","$0.547 hourly","$0.399 hourly","$1.372 hourly","$1.223 hourly","$3.412 hourly","$3.263 hourly","0","unavailable"
"R5A Double Extra Large","r5a.2xlarge","64.0 GiB","0 units","8 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","2210.0 Mbps","265.0 MB/s","16000.0 IOPS","No","60","4","Yes","Yes","Yes","No","Unknown","Yes","$0.544000 hourly","$0.285 hourly","$0.582 hourly","$0.415 hourly","$0.602 hourly","$0.345 hourly","$0.82 hourly","$0.653 hourly","$0.955 hourly","$0.788 hourly","$1.78 hourly","$1.613 hourly","$3.82 hourly","$3.653 hourly","$0.587 hourly","$0.42 hourly","$1.412 hourly","$1.245 hourly","$3.452 hourly","$3.285 hourly","0","$0.113 hourly"
"A1 Double Extra Large","a1.2xlarge","16.0 GiB","0 units","8 vCPUs","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","60","4","Yes","Yes","Yes","No","Unknown","No","unavailable","$0.1285 hourly","$0.334 hourly","$0.2585 hourly","$0.354 hourly","$0.1885 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C5N Double Extra Large","c5n.2xlarge","21.0 GiB","0 units","8 vCPUs","0","0","0 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","60","4","Yes","Yes","Yes","No","Unknown","Yes","unavailable","$0.272 hourly","$0.562 hourly","$0.402 hourly","$0.582 hourly","$0.332 hourly","$0.8 hourly","$0.64 hourly","$0.935 hourly","$0.775 hourly","$1.76 hourly","$1.6 hourly","$3.8 hourly","$3.64 hourly","$0.567 hourly","$0.407 hourly","$1.392 hourly","$1.232 hourly","$3.432 hourly","$3.272 hourly","0","$0.108 hourly"
"Z1D 3xlarge","z1d.3xlarge","96.0 GiB","75 units","12 vCPUs","0","0","6.25 units","Intel Xeon Platinum 8151","unknown","unknown","unknown","unknown","450 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","438.0 MB/s","20000.0 IOPS","No","240","8","No","Yes","Yes","No","HVM","Yes","$1.356000 hourly","$0.705 hourly","$1.246 hourly","$0.835 hourly","$1.266 hourly","$0.765 hourly","$1.668 hourly","$1.257 hourly","$1.871 hourly","$1.46 hourly","$3.108 hourly","$2.697 hourly","$6.168 hourly","$5.757 hourly","$1.319 hourly","$0.908 hourly","$2.556 hourly","$2.145 hourly","$5.616 hourly","$5.205 hourly","0","$0.270 hourly"
"R5 Quadruple Extra Large","r5.4xlarge","128.0 GiB","71 units","16 vCPUs","0","0","4.438 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","240","8","No","Yes","Yes","No","HVM","Yes","$1.216000 hourly","$0.635 hourly","$1.138 hourly","$0.765 hourly","$1.158 hourly","$0.695 hourly","$1.744 hourly","$1.371 hourly","$2.014 hourly","$1.641 hourly","$3.664 hourly","$3.291 hourly","$7.744 hourly","$7.371 hourly","$1.278 hourly","$0.905 hourly","$2.928 hourly","$2.555 hourly","$7.008 hourly","$6.635 hourly","0","$0.252 hourly"
"R5D Quadruple Extra Large","r5d.4xlarge","128.0 GiB","71 units","16 vCPUs","0","0","4.438 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","600 GiB               (2 * 300 GiB NVMe SSD)","Yes","Yes","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","240","8","No","Yes","Yes","No","HVM","Yes","$1.392000 hourly","$0.727 hourly","$1.282 hourly","$0.857 hourly","$1.302 hourly","$0.787 hourly","$1.888 hourly","$1.463 hourly","$2.158 hourly","$1.733 hourly","$3.808 hourly","$3.383 hourly","$7.888 hourly","$7.463 hourly","$1.422 hourly","$0.997 hourly","$3.072 hourly","$2.647 hourly","$7.152 hourly","$6.727 hourly","0","$0.270 hourly"
"C5 High-CPU Quadruple Extra Large","c5.4xlarge","32.0 GiB","68 units","16 vCPUs","0","0","4.25 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$0.784000 hourly","$0.428 hourly","$0.81 hourly","$0.558 hourly","$0.78 hourly","$0.461 hourly","$1.416 hourly","$1.164 hourly","$1.686 hourly","$1.435 hourly","$3.336 hourly","$3.084 hourly","$7.416 hourly","$7.164 hourly","$0.95 hourly","$0.699 hourly","$2.6 hourly","$2.348 hourly","$6.68 hourly","$6.428 hourly","$0.00 hourly","$0.170 hourly"
"C5 High-CPU Quadruple Extra Large","c5d.4xlarge","32.0 GiB","68 units","16 vCPUs","0","0","4.25 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","400 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$0.896000 hourly","$0.484 hourly","$0.898 hourly","$0.614 hourly","$0.868 hourly","$0.517 hourly","$1.504 hourly","$1.22 hourly","$1.774 hourly","$1.491 hourly","$3.424 hourly","$3.14 hourly","$7.504 hourly","$7.22 hourly","$1.038 hourly","$0.755 hourly","$2.688 hourly","$2.404 hourly","$6.768 hourly","$6.484 hourly","0","$0.192 hourly"
"C4 High-CPU Quadruple Extra Large","c4.4xlarge","30.0 GiB","62 units","16 vCPUs","0","0","3.875 units","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","2000.0 Mbps","250.0 MB/s","16000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$0.924000 hourly","$0.504 hourly","$0.926 hourly","$0.634 hourly","$0.896 hourly","$0.537 hourly","$1.532 hourly","$1.24 hourly","$1.814 hourly","$1.522 hourly","$5.538 hourly","$4.203 hourly","$7.532 hourly","$7.24 hourly","$1.07 hourly","$0.774 hourly","$2.72 hourly","$2.424 hourly","$6.8 hourly","$6.504 hourly","$0.00 hourly","$0.210 hourly"
"M5 General Purpose Quadruple Extra Large","m5d.4xlarge","64.0 GiB","60 units","16 vCPUs","0","0","3.75 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","600 GiB               (2 * 300 GiB NVMe SSD)","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1.128000 hourly","$0.576 hourly","$1.034 hourly","$0.706 hourly","$1.004 hourly","$0.609 hourly","$1.64 hourly","$1.312 hourly","$1.91 hourly","$1.582 hourly","$3.56 hourly","$3.232 hourly","$7.64 hourly","$7.312 hourly","$1.174 hourly","$0.846 hourly","$2.824 hourly","$2.496 hourly","$6.904 hourly","$6.576 hourly","0","$0.226 hourly"
"M5 General Purpose Quadruple Extra Large","m5.4xlarge","64.0 GiB","60 units","16 vCPUs","0","0","3.75 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$0.960000 hourly","$0.491 hourly","$0.898 hourly","$0.621 hourly","$0.868 hourly","$0.524 hourly","$1.504 hourly","$1.227 hourly","$1.774 hourly","$1.497 hourly","$3.424 hourly","$3.147 hourly","$7.504 hourly","$7.227 hourly","$1.038 hourly","$0.761 hourly","$2.688 hourly","$2.411 hourly","$6.768 hourly","$6.491 hourly","0","$0.192 hourly"
"D2 Quadruple Extra Large","d2.4xlarge","122.0 GiB","56 units","16 vCPUs","0","0","3.5 units","Intel Xeon E5-2676v3 (Haswell)","2.4 GHz","Yes","Yes","Yes","24000 GiB               (12 * 2000 GiB HDD)","Yes","N/A","64-bit","High","2000.0 Mbps","250.0 MB/s","16000.0 IOPS","No","240","8","Yes","No","Yes","No","HVM","Yes","$3.480000 hourly","$1.608 hourly","$2.89 hourly","$1.738 hourly","$2.86 hourly","$1.645 hourly","$3.062 hourly","$1.69 hourly","unavailable","unavailable","unavailable","unavailable","$9.496 hourly","$8.346 hourly","unavailable","unavailable","unavailable","unavailable","$8.76 hourly","$7.449 hourly","$0.00 hourly","$0.270 hourly"
"C3 High-CPU Quadruple Extra Large","c3.4xlarge","30.0 GiB","55 units","16 vCPUs","0","0","3.438 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","Yes","320 GiB               (2 * 160 GiB SSD)","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","No","240","8","Yes","No","Yes","No","HVM, PV","Yes","$1.058000 hourly","$0.584 hourly","$0.97 hourly","$0.714 hourly","$0.94 hourly","$0.62 hourly","$1.504 hourly","$1.317 hourly","$2.166 hourly","$1.54 hourly","$4.262 hourly","$3.084 hourly","$7.576 hourly","$7.329 hourly","$1.11 hourly","$0.801 hourly","$2.76 hourly","$2.451 hourly","$6.84 hourly","$6.531 hourly","unavailable","$0.210 hourly"
"M4 General Purpose Quadruple Extra Large","m4.4xlarge","64.0 GiB","53.5 units","16 vCPUs","0","0","3.344 units","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","2000.0 Mbps","250.0 MB/s","16000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1.000000 hourly","$0.4956 hourly","$0.93 hourly","$0.6256 hourly","$0.9 hourly","$0.5286 hourly","$1.536 hourly","$1.2316 hourly","$1.844 hourly","$1.381 hourly","$3.456 hourly","$3.1516 hourly","$7.536 hourly","$7.2316 hourly","$1.0704 hourly","$0.766 hourly","$2.72 hourly","$2.4156 hourly","$6.8 hourly","$6.4956 hourly","$0.00 hourly","$0.240 hourly"
"H1 Quadruple Extra Large","h1.4xlarge","64.0 GiB","53.5 units","16 vCPUs","0","0","3.344 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","4000 GiB               (2 * 2000 GiB HDD)","Yes","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","unavailable","$0.636 hourly","$1.066 hourly","$0.766 hourly","$1.036 hourly","$0.669 hourly","$1.672 hourly","$1.372 hourly","$1.942 hourly","$1.643 hourly","$3.592 hourly","$3.292 hourly","$7.672 hourly","$7.372 hourly","$1.206 hourly","$0.907 hourly","$2.856 hourly","$2.556 hourly","$6.936 hourly","$6.636 hourly","0","$0.234 hourly"
"I2 Quadruple Extra Large","i2.4xlarge","122.0 GiB","53 units","16 vCPUs","0","0","3.312 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","Yes","3200 GiB               (4 * 800 GiB SSD)","Yes","Yes","64-bit","High","N/A","0 MB/s","0 IOPS","No","240","8","Yes","No","Yes","No","HVM","Yes","$4.070000 hourly","$1.696 hourly","$3.54 hourly","$1.826 hourly","$3.51 hourly","$1.732 hourly","$3.891 hourly","$2.26 hourly","$3.971 hourly","$2.311 hourly","$4.918 hourly","$3.071 hourly","$10.146 hourly","$8.435 hourly","$3.682 hourly","$1.794 hourly","$5.332 hourly","$3.444 hourly","$9.412 hourly","$7.524 hourly","unavailable","$0.270 hourly"
"I3 High I/O Quadruple Extra Large","i3.4xlarge","122.0 GiB","53 units","16 vCPUs","0","0","3.312 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","3800 GiB               (2 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","16000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1.496000 hourly","$0.857 hourly","$1.378 hourly","$0.987 hourly","$1.348 hourly","$0.89 hourly","$1.984 hourly","$1.593 hourly","$2.266 hourly","$1.875 hourly","$3.904 hourly","$3.513 hourly","$7.984 hourly","$7.593 hourly","$1.518 hourly","$1.127 hourly","$3.168 hourly","$2.777 hourly","$7.248 hourly","$6.857 hourly","0","$0.270 hourly"
"R4 High-Memory Quadruple Extra Large","r4.4xlarge","122.0 GiB","53 units","16 vCPUs","0","0","3.312 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1.280000 hourly","$0.672 hourly","$1.194 hourly","$0.802 hourly","$1.164 hourly","$0.705 hourly","$1.8 hourly","$1.408 hourly","$2.082 hourly","$1.69 hourly","$3.72 hourly","$3.328 hourly","$7.8 hourly","$7.408 hourly","$1.3344 hourly","$0.9424 hourly","$2.984 hourly","$2.592 hourly","$7.064 hourly","$6.672 hourly","0","$0.266 hourly"
